Questions,Answers
What are the job opportunities in government sector as a production engineer and the name of the companies ?,"There are many opportunities in government sectors if you get good rank in GATE ME(Mechanical Engineering) : 
1. Through GATE ME you can get job in PSU. ike : ONGC, NTPC, GAIL,
2. You can be an IES officer through ESE.
3 .You can be an ISRO,DRDO scientist (ISRO scientist exam ICRB is similar to GATE ME , DRDO scientist is similar to ESE )
4. Your can be an government junior engineer through SSC JE exam"
What was lowest package in production engineering department of this year?,"Lowest package stands between 4-5 LPA , it also varies year to year."
What are the prospects of Production Engineering in GATE/Higher Studies?,"Production Engineering is a great choice of subject to pursue for your higher studies. You can appear for the GRE or GMAT examinations and get admitted into prestigious Masters and PhD courses in Industrial Engineering, Operations Research, Supply Chain Managment and Operations Management outside India if you maintain a good academic record and complete relevant coursework while your time in the University.You can appear for the ME or PI papers of GATE which have a syllabus resembling your coursework in University. GATE would allow you to pursue your masters in prestigious instutions in India in courses such as Industrial Engineering, Operations Research, Mechanical Design, Manufacturing Engineering etc."
Why everyone try for non core jobs is there no more opportunities in core jobs in our production department ?,"It is true that in core sectors opportunity is less as compare non-core sectors, but there are so many big companies like AIRBUS, Tata motors, Maruti Suzuki etc recruiting from our department, one of the reason could be Production engineering has a widespread curriculum but it doesn't have that much inclination to core subjects in it's curriculum with respect to Mechanical engineering' s curriculum. Also if you are good enough on your core concepts our seniors have proved you can get a job in top companies on campus placements also students prefer to go pursue Gate and complete their master from a more prestigious institues like IITs if you have scored a good rank in Gate examination."
Is there any internship directly given by our department?,"Yes, many companies visit Campus for On Campus Interships and some of them allow Production engineering students to apply for their Internships like Pwc, ITC, Accenture, Amazon, Google and many more. "
"Do we have enough opportunities in the it sector as in other depts like cse, it, etce ?  ","Since you are in ju ,you are going to have ample opportunities for sure . Every year lots of students from our dept are cracking big companies with a decent salary.
Speaking specifically about IT companies, they come to recruit CSE/IT/ETCE students (mainly), since there courses are more inclined to what the industry demands, and so your competition would be not only be with those guys but also with the companies mindset. If you're good enough to beat them, then you're all set. We have examples where our cs/it/etce friends have not secured an internship/placement but we, core students have cracked them."
Is there any chance of getting placement abroad ?,"Yes, You can try off campus through referrals on the career page of the company ,but you need to work very hard and be exceptional in your field. and our seniors from Production Engineering have proved that it is irrespective of which deptartment do you study you can achieve it."
How non core placement is achievable ?,You should be more specific about the question because non-core placements can be both consulting domain and coding domain. 
Does Production Engineering have a good part of coding in our Curriculum ?,"You all are going to learn C language in 1st year ,and that's it the curriculum has nothing else related to coding.You have to learn all the remaining concepts for coding by yourself along with the curriculum ."
Can someone do some research work from here in Ug level ?,"Yes, there are several opportunities to pursue research work at an UG level at Jadavpur University, You can approach a professor regarding a field or study of your choice and the Professor can be your advisor. If your work is good enought it can also be published in prestigious conferences and journals "
Scope of production engineering after 4 years in India ?,Depends on which sector do you want work after graduation or do you want to pursue higher studies. 
What is the average package this year ?,"The average package varies from year to year, it generally ranges between 8-10 LPA."
How does this degree help in becoming an consultant ?,Unlike other departments production engineering has some part of management in it's curriculum which helps us to get a brief overview about how different companies work and as a Consultant your main job is to solve business problems both techniocally and non technically so a brief overview will be useful in such cases.
Do our department teachers cooperate outside of the class if a student cannot understand any part of a curriculum ?,"Yes, obviously all professors irrespective of which class do you study in present appreciate your want of learning a subject and ready to make you understand again and again certain concepts you have doubts with and this culture is applicable to any professor of any deptartment all over Jdavpur University and all of them just want you to study well and excell in your life for that they will help you anyway possible. "
Is it a good branch to choose core sector after graduation ?,"Definitely, In manufacturing, Design and Automation this branch is great and the most demanding Production core subject is Operation Reserach (OR) . It also depends upon your "
What is the most difficult part of production engineering ?,"There is no specific answer to this question it all depends on you. Also if you are asking from subjects point of view then also no subject is that much difficult that you have to be fearful about it, it depends on you understanding level of the subjects if you are able to understand  the subject you will definately score better in the question paper. You can refer to seniors who have scored a good marks on that partcular subject if you are facing difficulty in understanding it."
Will there be any problem regarding industrial training or intership in the end of 2nd year if I have one or more active supple ?,"No, chances of getting Industrial Training and Internships are not diminished with your active backlogs until mentioned on the application form of the comapany you are applying for that 'No active Backlogs' ,but you should try to clear the backlogs as early as possible. "
"After giving GATE exam, which PSU allows Production Engineering Students on the post of Mechanical Engineer ? ",If you want to get PSU through GATE then focus on GATE ME paper rather than GATE PI paper beacuse through GATE PI paper hardly 15-20 is selected in PSU.
Is there any job or company which only hire Production engineers ?,"When it comes to Core Sector, as a freshmen one is hired at the same post/postion which is open for Mechanical Engineers.But with experience one could look for positions specific to Production Engineering."
Why their is so less placement stats in core ? but in the placement post that published in last year that their are so many companies from core come here to recruit .,"There are so many reasons for less placement in core sectors, JU Production placement post shows entire past year recruitment as for example one of our senior(2020 passout) placed In GAIL (PSU) through campus placement but GAIL is also shown in this year post but most specific reason for less placement in core is core sector now a days stable sectors, so that core companies don't need huge number of engineers so they recruit less no. of candidates as comapre to non-core sector. "
What are the future prospects of production engineering ?,"Production Engineering gives the oppurtunity to pursue a job in a number of sectors like Core and Consultanc.You can appear for the GRE or GMAT examinations and get admitted into prestigious Masters and PhD courses in Industrial Engineering, Operations Research, Supply Chain Managment and Operations Management outside India if you maintain a good academic record and complete relevant coursework while your time in the University.You can appear for the ME or PI papers of GATE which have a syllabus resembling your coursework in University. "
What is the level of coding knowledge included in the Production Engineering curriculum ?,"You all are going to learn C language in 1st year ,and that's it ,the curriculum has nothing else related to coding.You have to learn all the remaining concepts for coding by yourself along with the curriculum."
How to plan the time table for both departmental study and coding stuffs ?,"For departmental study you can cover most subjects and get a decent gpa just by studying two or three weeks before the exam ,rest of the time you can devote to coding and you can make a routine and follow it for better time mangement."
How final percentage from CGPA the end of fourth year is calculated ? ,Weighted Average is taken into consideration when it comes to calculating the final CGPA. It goes like ( 0.1*SGPA(1st year) + 0.2*SGPA(2nd year) + 0.35*SGPA(3rd year) + 0.35*SPGA(4th year))
Can I earn money as a student of production engineering department in my university life ?,"It all depends on the individual it has nothing to do with your department or your university, what things you can do along with studying in college that can make you an extra source of income maybe it can be  a youtube channel,maybe it can be some freelancing work which you can do better than other people at this age."
How to get relivent internship because University don't help us to get this ?,"You can use either of the following steps to get an Internship outside the University:
1. Cold mailing or Cold Messaging recruiters or Professors depending upon the type of Internship you want to do and wait for a reply regarding relevant opportunities.
2. Looking out for jobs posted on hiring sites such as LinkedIn, Internshala, Cuvette etc. for opportunities in areas that interest you.
3. Use your personal contacts for getting an Internship/ Industrial Training."
What are the limitations of production engineering ?,"Production Engineering is a multidisciplinary integrated study that deals with process, methodologies and management which in turns opens up a broad spectrum of oppurtunity and career path to purue."
How to apply for internships and what are the minimum criteria to be fullfilled ?,"Target a particular domain , namely core,consultancy and IT, and henceforth prepare for the same.Aptitude plays a very important role when it comes to Internships."
What is the best way to develop skills in case study and other skills in management ?,"Practice guesstimates, go through Casebooks and participate in Case Study Competitions in platforms like Unstop."
How much cgpa should i secured to sit all companies ? ,A CPGA above 7.5 would be safe when it comes to applying for jobs.
How much cgpa should i maintain(minimum) ?,A CPGA above 7.5 would be safe when it comes to applying for jobs.
What are the job opportunities in government sector as a production engineer and the name of the companies ?,"There are many opportunities in government sectors if you get good rank in GATE ME(Mechanical Engineering) : 
1. Through GATE ME you can get job in PSU. ike : ONGC, NTPC, GAIL,
2. You can be an IES officer through ESE.
3 .You can be an ISRO,DRDO scientist (ISRO scientist exam ICRB is similar to GATE ME , DRDO scientist is similar to ESE )
4. Your can be an government junior engineer through SSC JE exam"
As future production engineers what things should we learn ?,"Production Engineering is a multi-displinary intricated study dealing with process, methodology and management. Your coursework equips you with knowledge of several industrial ready subjects in Manufacturing Engineering and Managment Sciences. Apart from this your department also enables you to work synergically in a team, time managment, pressure management which are very important soft skills which would act as a catalyst for your hard skills. Your department trains you to be ready to face the world as well trained and educated Engineers."
What are differences between industrial and production engineering ?,"Both are same deptartment but having different names in different institutes like Industrial Engineering ,in some places like NITs and IITs it is known as Production and Industrial Engineering ."
"In JU, Production Engineering is perceived as a daughter branch of Mechanical Engineering. Do you concur with the above statement and if yes, why so? ","No, I do not agree to the statement beacuse both the branches have their own importance and different curriculum.Mechanical Engineers focus more on product development works to design and manufacture new products for customers whereas Production Engineers focuses more on making manufacture more resourceful. Product Engineers work on the products and process designed by Mechanical Engineers"
Is the curriculum enough for us to get industrial exposure ?,"Yes kind of,  you will get a good overview of how the industries work both in terms of it's core concepts of machines performing the operations and also how to manage the employees and operations to get the job done. You will have a good grip on technical aspects and also how to manage the work properly for industries.    "
What are the details of the management courses that come under Production Engineering ?,"Subjects that are aligned to Managment are Plant Layout and Product Handling, Production Managment, Ergonomics and Work Design, Operations Research, Production Economics & Financial Managment, Supply Chain Managment, Total Quality Management, Human Resources Management"
Do you agree that the name of the department Production Engineering is a misnomer and it would be better if it was renamed to something else like Manufacturing ?,"Production Engineering was a department started by Prof. Amitabha Bhattacharya, the name of the department has a deep emotion and history behind it. Production Engineering in this modern time even though may sound like a misnomer when IITs have Industrial Engineering or Manufacturing Sciences department, the change of name would depend upon the stakeholders of the department which includes students and Professors. "
What are your opinions if we separated the Industrial aspect of Production Engineering and establish it as a separate independent branch just like in IIT-KGP ?,If you separate the industrial aspect from production engineering you will miss an important part of learning technical knowhow of any operation and core concepts of machines behind completion of any task and you will not be confident about the work flow going on in the industry and will not be able to guide your fellow worker about the work process.  
What are the details of the management courses that come under Production Engineering ?,"Subjects that are aligned to Managment are Plant Layout and Product Handling, Production Managment, Ergonomics and Work Design, Operations Research, Production Economics & Financial Managment, Supply Chain Managment, Total Quality Management, Human Resources Management "
What is the higher study scope of Production Engineering ?,"Production Engineering is a great choice of subject to pursue for your higher studies. You can appear for the GRE or GMAT examinations and get admitted into prestigious Masters and PhD courses in Industrial Engineering, Operations Research, Supply Chain Managment and Operations Management outside India if you maintain a good academic record and complete relevant coursework while your time in the University.You can appear for the ME or PI papers of GATE which have a syllabus resembling your coursework in University. GATE would allow you to pursue your masters in prestigious instutions in India in courses such as Industrial Engineering, Operations Research, Mechanical Design, Manufacturing Engineering etc."
What are the research options in this field ?,"There are several opportunities to pursue research work at an UG level at Jadavpur University, You can approach a professor regarding a field or study of your choice and the Professor can be your advisor. If your work is good enought it can also be published in prestigious conferences and journals"
What are the chances of getting foreign internships other than IT sector after third year ?,"You can get internship opportunities in non IT domains abroad in form of research internships. You can apply for programs which are looking for research interns such as MITACS, DAAD-WISE scholarship, Charpak Scholarship, OIST, ANU fellowship etc. You can also look for internships in consulancy and core domains by cold messaging on hiring sites."
What are the MS options available in foreign countries and scholarship pertaining to it ?,"Production Engineering is a great choice of subject to pursue for your higher studies. You can appear for the GRE or GMAT examinations and get admitted into prestigious Masters and PhD courses in Industrial Engineering, Operations Research, Supply Chain Managment and Operations Management outside India if you maintain a good academic record and complete relevant coursework while your time in the University.You can apply for different scholarship programs depending upon the University. For example, DAAD-WISE exists for Universities in Germany, MITACS exists for Canada. SN Bose Scholarship exists for USA, apart from this there are some scholarships offered by the Universities you might apply to as well depending upon the program"
What is the ideal sgpa for 2nd Year  ?,Usually according to seniors 2nd year is abit hard to score respective to other years according to our curriculum structure. So you should try you level best to score a good cgpa but it is advisable you to maintain a cgpa of about 7.5+ in your 2nd year and don't let it drop below 7.
